1	6	11
7	17	3
2	14	2
15	15	16
19	12	1
3	12	8
9	13	16
5	14	5
17	10	3
19	18	9
10	15	1
11	2	13
14	10	1
6	14	13
19	1	6
17	1	6
7	19	10
11	17	12
13	13	6
12	9	15
2	16	12
15	15	4
19	17	15
9	8	15
5	1	15
14	16	13
4	9	3
11	16	15
8	16	1
3	2	11
1	17	12
13	9	10
16	12	9
6	15	11
13	8	1
6	16	7
9	6	18
5	10	10
1	5	15
8	11	12
13	17	10
11	11	5
8	15	8
2	16	6
16	12	4
6	12	1
9	3	17
6	18	4
13	16	10
11	3	11
10	12	11
10	2	1
12	9	17
16	5	2
17	4	12
16	3	6
19	17	6
10	1	6
3	4	18
8	13	1
11	9	14
1	16	17
19	19	19
2	9	14
8	15	14
12	10	17
12	17	1
13	16	7
7	3	4
18	3	4
6	13	11
2	16	11
13	9	1
15	10	2
7	19	3
16	9	9
17	19	14
5	13	19
8	17	9
14	1	12
10	17	7
5	19	14
12	7	17
17	3	9
6	2	4
13	1	8
15	13	5
7	10	6
16	10	7
16	5	13
9	7	10
1	16	12
11	18	8
9	7	1
11	18	10
19	13	8
6	2	18
9	2	9
12	12	14
1	8	14
14	2	19
19	12	19
18	18	14
11	12	19
7	18	5
3	15	13
2	13	8
6	8	17
17	10	4
19	16	11
4	3	8
5	12	6
1	5	16
10	3	6
17	11	10
17	16	12
14	1	4
5	10	1
15	9	9
3	15	15
17	16	6
6	1	4
9	19	2
13	8	5
9	15	12
16	3	9
18	8	7
14	14	13
11	3	12
1	13	2
11	3	7
8	2	11
5	17	11
10	6	17
1	4	13
1	10	4
9	15	14
14	11	1
4	10	10
16	18	6
19	15	5
14	8	12
13	13	4
3	17	18
18	17	4
5	1	8
12	18	10
3	18	6
13	12	6
8	4	12
10	12	10
13	7	16
16	16	5
15	3	16
4	3	19
16	9	3
15	10	18
16	3	12
15	7	18
4	4	2
19	4	18
4	3	14
7	17	2
13	2	8
9	14	12
11	10	11
2	5	13
7	2	5
16	2	14
7	10	19
19	9	12
9	19	8
14	11	12
19	15	14
16	1	14
3	10	15
6	10	1
3	19	4
15	14	17
1	17	5
3	8	12
2	8	12
12	18	1
16	4	4
3	14	16
10	10	8
15	14	19
14	10	3
11	3	13
19	12	7
13	11	1
4	6	19
8	10	14
17	4	14
11	19	8
16	7	19
10	18	6
1	19	9
17	4	14
13	2	5
13	16	9
11	9	18
14	6	9
5	7	13
16	2	18
13	4	11
6	7	3
16	14	9
18	12	10
14	3	14
18	6	5
12	18	16
12	8	3
19	18	18
16	16	10
9	5	11
17	10	19
5	11	13
19	18	9
17	10	4
6	16	10
12	10	7
14	10	10
6	12	15
9	10	5
1	9	19
17	8	8
5	8	7
10	16	6
12	18	11
8	15	1
12	17	15
9	19	19
9	12	1
13	7	3
14	8	9
12	6	18
2	12	12
11	10	4
18	2	4
4	8	12
1	18	19
2	15	12
10	19	4
10	6	4
19	10	8
8	8	15
4	13	14
13	8	11
2	9	19
18	19	10
15	17	5
17	12	8
2	12	5
16	14	8
15	8	6
11	5	15
15	13	6
8	6	9
16	2	2
12	1	8
18	11	15
10	17	17
12	10	10
10	6	13
3	11	9
12	16	2
17	7	3
6	15	12
2	8	14
9	15	11
19	17	18
4	5	15
13	6	12
10	13	17
19	19	2
12	15	5
8	12	7
8	13	4
5	18	13
4	16	15
7	7	12
16	18	18
10	10	9
11	8	18
13	3	18
3	7	14
15	18	17
9	6	3
19	3	11
19	19	12
19	6	15
16	6	3
11	15	12
17	17	19
13	2	9
2	10	9
12	5	18
15	8	10
10	5	1
18	11	2
4	7	11
11	9	13
18	6	3
5	14	9
5	11	15
19	2	10
3	8	11
12	16	8
9	7	6
11	7	17
9	8	10
11	6	2
6	7	17
7	7	14
15	6	3
2	2	5
6	13	9
5	12	15
1	1	8
18	1	2
11	10	12
11	11	7
18	12	10
10	9	6
7	14	8
7	7	8
16	13	3
4	10	8
15	19	9
11	16	3
18	19	3
3	2	7
17	10	8
17	19	6
13	19	19
19	8	15
6	9	17
4	9	10
3	12	15
9	11	5
1	4	10
18	14	13
18	15	1
2	18	8
11	5	3
9	18	7
8	14	13
14	19	10
10	1	8
17	19	9
3	3	14
1	16	4
19	10	12
2	10	12
1	13	10
12	7	15
16	14	2
8	15	3
9	7	10
14	12	18
3	10	5
16	12	19
14	10	3
1	2	2
13	9	9
8	3	9
7	7	4
18	18	9
9	18	17
11	19	1
12	1	9
12	15	16
17	12	8
18	11	19
7	13	14
16	17	8
12	12	3
13	17	3
13	18	12
18	11	1
14	19	7
18	6	19
2	3	19
4	5	12
11	3	19
6	15	15
8	6	12
6	15	2
9	8	18
4	12	14
8	10	9
12	12	4
11	16	2
10	16	12
15	16	8
14	19	8
2	9	13
3	1	16
9	15	9
1	11	13
9	4	17
4	3	18
7	16	6
18	7	2
10	3	2
2	19	14
17	2	14
19	6	8
9	19	8
9	8	6
9	7	5
8	3	1
14	17	16
5	10	3
18	4	13
10	10	14
9	8	18
12	17	18
7	2	3
14	13	13
2	13	9
12	12	14
16	9	12
9	19	18
5	16	4
1	14	10
1	9	3
2	9	11
13	15	6
17	13	7
7	19	2
2	9	14
1	13	8
13	11	10
12	10	14
17	4	5
4	16	3
7	4	6
9	16	14
17	10	12
18	8	9
2	1	3
19	8	6
16	8	16
14	13	16
1	18	8
6	6	18
4	15	13
4	17	19
12	12	13
8	10	5
13	7	17
6	4	15
9	1	11
16	18	7
12	7	17
4	8	11
5	11	10
2	5	1
5	2	12
18	9	1
16	3	10
4	14	10
16	3	9
14	13	1
10	1	8
17	6	1
